CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031405256532001ME0F;10/09/2020;15;0,171;R
ES0031405256532001ME0F;10/09/2020;16;0,063;R
ES0031405256532001ME0F;10/09/2020;17;0,1;R
ES0031405256532001ME0F;10/09/2020;18;0,15;R
ES0031405256532001ME0F;10/09/2020;19;0,266;R
ES0031405256532001ME0F;10/09/2020;20;0,122;R
ES0031405256532001ME0F;10/09/2020;21;0,126;R
ES0031405256532001ME0F;10/09/2020;22;0,185;R
ES0031405256532001ME0F;10/09/2020;23;0,306;R
ES0031405256532001ME0F;10/09/2020;24;0,471;R
ES0031405256532001ME0F;11/09/2020;1;0,15;R
ES0031405256532001ME0F;11/09/2020;2;0,1;R
ES0031405256532001ME0F;11/09/2020;3;0,158;R
ES0031405256532001ME0F;11/09/2020;4;0,084;R
ES0031405256532001ME0F;11/09/2020;5;0,074;R
ES0031405256532001ME0F;11/09/2020;6;0,068;R
ES0031405256532001ME0F;11/09/2020;7;0,062;R
ES0031405256532001ME0F;11/09/2020;8;0,075;R
ES0031405256532001ME0F;11/09/2020;9;0,101;R
ES0031405256532001ME0F;11/09/2020;10;0,11;R
ES0031405256532001ME0F;11/09/2020;11;0,057;R
ES0031405256532001ME0F;11/09/2020;12;0,1;R
ES0031405256532001ME0F;11/09/2020;13;0,183;R
ES0031405256532001ME0F;11/09/2020;14;0,095;R
ES0031405256532001ME0F;11/09/2020;15;0,137;R
ES0031405256532001ME0F;11/09/2020;16;0,245;R
ES0031405256532001ME0F;11/09/2020;17;0,167;R
ES0031405256532001ME0F;11/09/2020;18;0,064;R
ES0031405256532001ME0F;11/09/2020;19;0,236;R
ES0031405256532001ME0F;11/09/2020;20;0,102;R
ES0031405256532001ME0F;11/09/2020;21;0,117;R
ES0031405256532001ME0F;11/09/2020;22;0,072;R
ES0031405256532001ME0F;11/09/2020;23;0,17;R
ES0031405256532001ME0F;11/09/2020;24;0,046;R
ES0031405256532001ME0F;12/09/2020;1;0,136;R
ES0031405256532001ME0F;12/09/2020;2;0,157;R
ES0031405256532001ME0F;12/09/2020;3;0,127;R
ES0031405256532001ME0F;12/09/2020;4;0,134;R
ES0031405256532001ME0F;12/09/2020;5;0,096;R
ES0031405256532001ME0F;12/09/2020;6;0,044;R
ES0031405256532001ME0F;12/09/2020;7;0,025;R
ES0031405256532001ME0F;12/09/2020;8;0,082;R
ES0031405256532001ME0F;12/09/2020;9;0,074;R
ES0031405256532001ME0F;12/09/2020;10;0,047;R
ES0031405256532001ME0F;12/09/2020;11;0,038;R
ES0031405256532001ME0F;12/09/2020;12;0,038;R
ES0031405256532001ME0F;12/09/2020;13;0,054;R
ES0031405256532001ME0F;12/09/2020;14;0,161;R
ES0031405256532001ME0F;12/09/2020;15;0,164;R
ES0031405256532001ME0F;12/09/2020;16;0,193;R
ES0031405256532001ME0F;12/09/2020;17;0,171;R
ES0031405256532001ME0F;12/09/2020;18;0,1;R
ES0031405256532001ME0F;12/09/2020;19;0,084;R
ES0031405256532001ME0F;12/09/2020;20;0,075;R
ES0031405256532001ME0F;12/09/2020;21;0,18;R
ES0031405256532001ME0F;12/09/2020;22;0,275;R
ES0031405256532001ME0F;12/09/2020;23;0,157;R
ES0031405256532001ME0F;12/09/2020;24;0,168;R
ES0031405256532001ME0F;13/09/2020;1;0,129;R
ES0031405256532001ME0F;13/09/2020;2;0,036;R
ES0031405256532001ME0F;13/09/2020;3;0,045;R
ES0031405256532001ME0F;13/09/2020;4;0,038;R
ES0031405256532001ME0F;13/09/2020;5;0,031;R
ES0031405256532001ME0F;13/09/2020;6;0,028;R
ES0031405256532001ME0F;13/09/2020;7;0,036;R
ES0031405256532001ME0F;13/09/2020;8;0,037;R
ES0031405256532001ME0F;13/09/2020;9;0,154;R
ES0031405256532001ME0F;13/09/2020;10;0,112;R
ES0031405256532001ME0F;13/09/2020;11;0,054;R
ES0031405256532001ME0F;13/09/2020;12;0,057;R
ES0031405256532001ME0F;13/09/2020;13;0,061;R
ES0031405256532001ME0F;13/09/2020;14;0,201;R
ES0031405256532001ME0F;13/09/2020;15;0,195;R
ES0031405256532001ME0F;13/09/2020;16;0,076;R
ES0031405256532001ME0F;13/09/2020;17;0,081;R
ES0031405256532001ME0F;13/09/2020;18;0,054;R
ES0031405256532001ME0F;13/09/2020;19;0,131;R
ES0031405256532001ME0F;13/09/2020;20;0,065;R
ES0031405256532001ME0F;13/09/2020;21;0,14;R
ES0031405256532001ME0F;13/09/2020;22;0,166;R
ES0031405256532001ME0F;13/09/2020;23;0,176;R
ES0031405256532001ME0F;13/09/2020;24;0,217;R
ES0031405256532001ME0F;14/09/2020;1;0,17;R
ES0031405256532001ME0F;14/09/2020;2;0,158;R
ES0031405256532001ME0F;14/09/2020;3;0,141;R
ES0031405256532001ME0F;14/09/2020;4;0,116;R
ES0031405256532001ME0F;14/09/2020;5;0,058;R
ES0031405256532001ME0F;14/09/2020;6;0,063;R
ES0031405256532001ME0F;14/09/2020;7;0,099;R
ES0031405256532001ME0F;14/09/2020;8;0,106;R
ES0031405256532001ME0F;14/09/2020;9;0,089;R
ES0031405256532001ME0F;14/09/2020;10;0,206;R
ES0031405256532001ME0F;14/09/2020;11;0,16;R
ES0031405256532001ME0F;14/09/2020;12;0,143;R
ES0031405256532001ME0F;14/09/2020;13;0,183;R
ES0031405256532001ME0F;14/09/2020;14;0,308;R
ES0031405256532001ME0F;14/09/2020;15;0,161;R
ES0031405256532001ME0F;14/09/2020;16;0,199;R
ES0031405256532001ME0F;14/09/2020;17;0,236;R
ES0031405256532001ME0F;14/09/2020;18;0,127;R
